Name,OOS,,Total Verses,Verses to Sing,Familiarity,Service Index,Key,NVB,SSH,MAJ,NVR,Date of Most Recent Use,First Line,Notes,ID,Blood,Christmas,Cross,Easter,Grace,Heaven,Holy Spirit,Invitation,Missions,Patriotic,Prayer,Salvation,Second Coming,Bible,Calvary,Great Hymns,Service,Thanksgiving,Assurance,Christian Warfare,Comfort & Guidance,Consecration,Consolation,Faith & Trust,Joy & Singing,Love,Praise,Resurrection,Soul Winning & Service,Testimony,Lyrics,Log,Words,Music
My Saviour's Love,"1, 3, 5","185 | ""My Saviour's Love"" (1) [5]",5,"1, 3, 5",,2,Ab,1,185,,1,,I stand amazed in the presence of Jesus the Nazarene,,1001,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,"VERSE 1
I stand amazed
in the presence
Of Jesus the Nazarene,

And wonder how
He could love me,
A sinner condemned, unclean.

CHORUS
How marvelous!
How wonderful!
And my song
Shall ever be:

How marvelous!
How wonderful!
Is my Savior's
love for me!

VERSE 2
For me it was
In the garden
He prayed:
""Not my will,
but Thine;""

He had no tears
For His own griefs,
But sweat-drops of
Blood for mine.

VERSE 3
In pity
Angels beheld Him,
And came from the
World of light

To comfort Him
In the sorrows
He bore for
My soul that night.

VERSE 4
He took my sins
And my sorrows,
He made them
His very own;

He bore the
Burden to Calv'ry,
And suffered
And died alone.

VERSE 5
When with the
Ransomed in glory
His face I at last
Shall see,

'Twill be my joy
Through the ages
TO sing of His
Love for me.",Transcribed by David Spillman on 03/25/26 20:41,Charles H. Gabriel,
"Come, Thou Fount of Every Blessing [Nettleton]","All: 1, 2, 3","169 | ""Come, Thou Fount of Every Blessing [Nettleton]"" (2) [3]",3,"All: 1, 2, 3",,2,Eb,2,169,7,507,,"Come, Thou Fount of ev'ry blessing",,1002,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,"VERSE 1
Come, Thou Fount of ev'ry blessing,
Tune my heart to sing Thy grace;
Streams of mercy, never ceasing,
Call for songs of loudest praise.

Teach me some melodious sonnet
Sung by flaming tongues above;
Praise the mount--I'm fixed upon it--
Mount of Thy redeeming love.

VERSE 2
Here I raise my Ebenezer;
Hither by Thy help I'm come;
And I hope, by Thy good pleasure,
Safely to arrive at home.

Jesus sought me when a stranger,
Wand'ring from the fold of God;
He, to rescue me from danger,
Interposed His precious blood.

VERSE 3
O to grace how great a debtor
Daily I'm constrained to be!
Let Thy goodness, like a fetter,
Bind my wand'ring heart to Thee:

Prone to wander, Lord, I feel it,
Prone to leave the God I love;
Here's my heart, O take and seal it,
Seal it for Thy courts above.",Transcribed by Zaavan Atchison on 04/07/26 09:28,Robert Robinson,
"Brethren, We Have Met to Worship","1, 2, 4","448 | ""Brethren, We Have Met to Worship"" (3) [4]",4,"1, 2, 4",,3/4,G,3,448,67,,,"Brethren, we have met to worship",,1003,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,"VERSE 1
Brethren, we have met to worship
And adore the Lord our God;
Will you pray with all your power,
While we try to preach the Word?

All is vain unless the Spirit
Of the Holy One comes down;
Brethren, pray, and holy manna
Will be showered all around.

VERSE 2
Brethren, see poor sinners round you
Slumb'ring on the brink of woe;
Death is coming, hell is moving--
Can you bear to let them go?

See our fathers and our mothers
And our children sinking down;
Brethren, pray, and holy manna
Will be showered all around.

VERSE 3
Sisters, will you join and help us?
Moses' sister aided him;
Will you help the trembling mourners
Who are struggling hard with sin?

Tell them all about the Savior--
Tell them that He will be found;
Sisters, pray, and holy manna
Will be showered all around.

VERSE 4
Let us love our God supremely,
Let us love each other too;
Let us love and pray for sinners
Till our God makes all things new.

Then He'll call us home to heaven,
At His table we'll sit down;
Christ will gird Himself and serve us
With sweet manna all around.",Transcribed by Zaavan Atchison on 04/07/26 09:39,George Atkins,
Be Thou Exalted,"All: 1, 2, 3","NVB | ""Be Thou Exalted"" (4) [3]",3,"All: 1, 2, 3",,3/4,Eb,4,,50,527,,"Be Thou exalted, forever and ever",,1004,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,"VERSE 1
Be Thou exalted
Forever and ever,
God of eternity,
The Ancient of Days!

Wondrous in wisdom,
Majestic in glory,
Perfect in holiness,
And worthy of praise.

VERSE 2
Be Thou exalted,
O Son of the highest,
Savior of sinful men,
Redeemer and King!

One with the Father,
Co-equal in glory,
Humbly we come to Thee
Our homage to bring.

VERSE 3
Be Thou exalted,
O Spirit of power,
Dwelling within our hearts
To keep us from sin.

God of the ages,
And Lord of Salvation,
Ruler of Heav'n and earth,
Thy praises we sing!

CHORUS
Be Thou exalted
By seraphs and angels,
Be Thou exalted
with harp and with song;

Saints in their anthems
Of rapture adore Thee,
Thine be the glory
Forever, Amen!",Transcribed by David Spillman on 04/08/26 15:37,Fanny Crosby,
"Holy, Holy, Holy!","1, 2, 4","NVB | ""Holy, Holy, Holy!"" (5) [4]",4,"1, 2, 4",,1A,Bb,5,,68,224,,"Holy, holy, holy! Lord God Almighty!",,1005,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,"VERSE 1
Holy, Holy, Holy!
Lord God Almighty!
Early in the morning
Our song shall rise to Thee;

Holy, Holy, Holy!
Merciful and Mighty!
God in Three Persons,
Blessed Trinity!

VERSE 2
Holy, Holy, Holy!
All the saints adore Thee,
Casting down their golden crowns
Around the glassy sea;

Cherubim and seraphim
Falling down before Thee,
Which wert and art and
Evermore shall be.

VERSE 3
Holy, Holy, Holy!
Tho' the darkness hide Thee,
Tho' the eye of sinful man
Thy glory may not see,

Only Thou art holy;
There is none beside Thee
Perfect in pow'r, in
Love and purity.

VERSE 4
Holy, Holy, Holy!
Lord God Almighty!
All Thy works shall praise Thy name,
In earth, and sky, and sea;

Holy Holy, Holy!
Merciful and Mighty!
God in Three Persons,
Blessed Trinity!",Transcribed by Zaavan Atchison on 04/13/26 17:34,Reginald Heber,
I Sing The Mighty Power of God,"All: 1, 2, 3","NVB | ""I Sing The Mighty Power of God"" (6) [3]",3,"All: 1, 2, 3",,2,Bb,6,,6,222,,I sing the mighty power of God,,1006,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,"VERSE 1
I sing the mighty pow'r of God,
That made the mountains rise;
That spread the flowing seas abroad,
And built the lofty skies.

I sing the wisdom that ordained
The sun to rule the day;
The moon shines full at His command,
And all the stars obey.

VERSE 2
I sing the goodness of the Lord,
That filled the earth with food;
He formed the creatures
With His word,
And then pronounced them good.

Lord, how Thy wonders are displayed
Where'er I turn my eye,
If I survey the ground I tread
Or gaze upon the sky!

VERSE 3
There's not a plant or flow'r below,
But makes Thy glories known;
And clouds arise, and tempests blow,
By order from Thy throne;

While all that borrows life from Thee
Is ever in Thy care,
And ev'rywhere that man can be,
Thou, God, art present there.",Transcribed by Zaavan Atchison on 04/13/26 17:42,Isaac Watts,
Blessed Be the Name,"1, 2, 4","159 | ""Blessed Be the Name"" (7) [4]",4,"1, 2, 4",,1C,A,7,159,173,538,,All praise to Him who reigns above,,1007,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"VERSE 1
All praise to Him 
Who reigns above
In majesty supreme,

Who gave His Son
For man to die,
That He might man redeem!

CHORUS
Blessed be the name,
Blessed be the name,
Blessed be the name 
Of the Lord;

Blessed be the name,
Blessed be the name,
Blessed be the name 
Of the Lord.

VERSE 2
His name above
All names shall stand,
Exalted more and more,

At God the Father's
Own right hand,
Where angel hosts adore.

VERSE 3
Redeemer, Savior,
Friend of man
Once ruined by the fall,

Thou hast devised
Salvation's plan,
For Thou hast died for all.

VERSE 4
His name shall be
The Counsellor,
The mighty Prince of Peace,

Of all earth's kingdoms Conqueror,
Whose reign shall never cease.",Transcribed by Zaavan Atchison on 04/13/26 18:15,W. H. Clark & Ralph E. Hudson,
When Morning Gilds the Skies,"1, 3, 5","163 | ""When Morning Gilds the Skies"" (8) [5]",5,"1, 3, 5",,1A,C,8,163,48,81,,When morning gilds the skies,,1008,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,"VERSE 1
When morning gilds the skies,
My heart awaking cries:
May Jesus Christ be praised;
Alike at work or prayer

To Jesus I repair:
May Jesus Christ be praised.

VERSE 2
When sleep her balm denies,
My silent spirit sighs:
May Jesus Christ be praised;
When evil thoughts molest,

With this I shield my breast: 
May Jesus Christ be praised.

VERSE 3
Does sadness fill my mind,
A solace here I find:
May Jesus Christ be praised;
Or fades my earthly bliss,

My comfort still is this;
May Jesus Christ be praised.

VERSE 4
In heav'n's eternal bliss
The loveliest strain is this,
May Jesus Christ be praised; 
The pow'rs of darkness fear,

When this sweet chant they hear:
May Jesus Christ be praised.

VERSE 5
Be this, while life is mine,
My canticle divine,
May Jesus Christ be praised;
Be this th' eternal song,

Through all the ages long: 
May Jesus Christ be praised.",Transcribed by Zaavan Atchison on 04/16/26 13:44,Edward Caswall,
God Can Do Anything But Fail,Chorus 2x,"NVB | ""God Can Do Anything But Fail"" (9) [C]",C,Chorus 2x,,3/4,D,9,,,9,,"God can do anything, anything, anything",,1009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ira Stanphill,
I Will Praise Him,"1, 3, 5","166 | ""I Will Praise Him"" (10) [5]",5,"1, 3, 5",,2,Eb,10,166,10,212,,When I saw the cleansing fountain,,1010,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,Margaret J. Harris,
